三级功能,详细配置参数,问题描述,
产业资源分布,层显示不同产业的密度分布（如新能源汽车企业集群、半导体材料园区），按产值、企业数量、专利密度等指标生成热力图层，标注关键资源位置：港口、铁路枢纽、高校/科研院所、矿产分布等,点击列表，地图无产业展示或被标记；无热力图；无关键资源位置被标记,
产业链空间图谱,在地图上展示产业链上下游企业的地理位置及物流路径（如原材料供应商→制造基地→分销中心），标识产业链关键堵点（如跨省运输瓶颈、配套缺失区域）,没有标记位置和路线，应该是数据缺失，此功能没有完整实现,
优势环节识别,通过产值占比、技术专利密度、市场占有率等指标，定位园区/区域的优势产业环节（如“光伏硅片制造”）,不要用地图，这里应该是数据对比,
延伸方向推荐,基于产业链图谱，推荐可向上下游延伸的高附加值环节（如“锂电池制造→电池回收”或“原材料→纳米改性材料”）,不要用地图，仅针对产业的上中下游，进行图谱秒回和标记,
垂直榜单,按行业（如“新能源百强”）、区域（如“长三角外资企业Top50”）、企业规模（如“独角兽榜单”）细分,榜单名称太假; 筛选无效,
特色榜单,结合地方产业需求定制（如“德阳高端装备配套企业30强”）,榜单名称太假; 筛选无效,
品牌联动与传播,"与权威机构（如赛迪顾问、投中网）联合发布榜单，提升公信力。
举办“榜单企业城市行”活动，定向邀请目标企业考察",榜单名称太假,
生态构建与协同,分析产业链缺口，推动上下游企业聚集,应该是各行业的产业链是什么？然后根据当前本地企业缺少，引进对企业：建议重新生成页面,
资源智能匹配,输入企业资质类型（如“国家级绿色工厂”），推荐本地可提供的绿色金融产品、低碳园区入驻资格,联系和详情按钮去掉,
项目库管理,收集和评估潜在投资项目，供投行和基金参考,搜索未生效,
技术转化潜力评估,"技术价值穿透
解析专利技术链：基础研究→应用研究→产品原型→市场化路径，识别可招商环节（如中试放大需求）。
​产业适配度分析
匹配本地产业基础（如某柔性显示技术与本地面板企业工艺兼容性），生成技术嫁接方案",项目和产业技术名称，去掉数字编号,
人才流动与共享机制,建立科研机构专家在企业兼职的合规通道，标注领域（微电子、生物医药）、可服务时长（月度/季度）。,"专家名称太假
可服务时段 无法选择",
园区资源全景展示,"核心优势可视化
​地理禀赋：标注交通枢纽（机场、港口、高铁）、物流半径、周边产业配套。
​产业基础：展示主导产业占比（如装备制造占园区产值60%）、龙头企业分布。
​政策红利：税收优惠、人才补贴、用地保障等政策分类标签化",内容不符合，重新生成,
智能企业匹配引擎,"企业输入需求：行业类型（如生物医药）、面积需求（5000㎡±10%）、员工规模（200人+）。
智能匹配园区可用地块/厂房，按适配度排序（区位>成本>政策）",搜索无效，页面不符合，重新生成,
产业链协同招商,"产业链缺口诊断
分析园区现有产业链薄弱环节（如某环节本地配套率<40%），推荐补链企业清单。
​链主企业牵引
为园区内链主企业（如东电）生成“供应商引入奖励包”，激励其推荐上下游伙伴",榜单名称太假; 筛选无效,
招商风险监测,招商风险监测通过多维度数据整合与智能分析，实时预警招商项目全生命周期中的潜在风险（政策、市场、履约等），为科学决策提供支持，保障招商质量与可持续性,未体现招商生命周期与各个风险的关系,
招商情报搜索,通过整合多源数据与智能算法，实现招商相关情报的精准检索、语义分析及策略推荐,数据重复,
我的招商情报,整合招商情报中心，结合其所在区域的特点，整合多源数据，提供实时分析、策略建议和风险预警，并以可视化形式呈现，便于决策和行动,未展示区域信息中企业情报和风险，建议重新编写页面,
多源榜单动态整合,聚焦榜单数据的动态追踪、风险预警与价值联动，通过实时校验、趋势分析与策略适配，保障榜单的决策参考价值，助力精准招商,没有展示 风险预警 价值联动 建议重新生成,
榜单波动预警体系,"异常波动检测：
​横向波动：同一企业在多榜单排名差异≥20位（如A榜单第10，B榜单第50）；
​纵向波动：季度排名下降≥15位或专利数突增",没有具体体系，不好生成。,
基础信息筛选,"​行业分类：支持多级行业标签（如“新能源→储能→电池回收”）。
​企业规模：按营收（1亿+/10亿+）、员工数（100人+/500人+）、用地面积（50亩+/200亩+）分层。
​地理围栏：地图圈选（如成渝经济圈）、物流半径（500公里内覆盖港口/机场）",没有地理围栏，需要有地图,
经营与资质筛选,"经营健康度:纳税稳定性,研发投入强度",没有纳税信息,
多维度画像,"工商数据：股权结构（实控人穿透）、分支机构、对外投资（子公司/参股）。
​资质标签：高企、专精特新、绿色工厂等认证状态及有效期。
​地理坐标：总部/工厂位置、物流辐射范围（500公里覆盖港口/机场）",需要筛选各个企业，然后分析内容；建议重新生成,
产业链关联,"供应链图谱：核心供应商（采购额Top5）、关键客户（销售额Top5）、技术合作方。
​控制力指数：基于订单占比、专利引用数计算企业产业链话语权（0-100分）",缺少订单占比，专利引用目前仅直接得出话语权分值,
产业链关联企业,,下拉框 选择后无变化,
